entidad,delconac,tdelcoac
"01",1,"NA"
"01",2,"NA"
"01",3,"NA"
"01",4,"NA"
"01",5,"NA"
"01",9,""
"02",1,"NA"
"02",2,"NA"
"02",3,"NA"
"02",4,"NA"
"02",5,"NA"
"02",9,""
"03",1,"NA"
"03",2,"NA"
"03",3,"NA"
"03",4,"NA"
"03",5,"NA"
"03",9,""
"04",1,"NA"
"04",2,"NA"
"04",3,"NA"
"04",4,"NA"
"04",5,"NA"
"04",9,""
"05",1,"NA"
"05",2,"NA"
"05",3,"NA"
"05",4,"NA"
"05",5,"NA"
"05",9,""
"06",1,"NA"
"06",2,"NA"
"06",3,"NA"
"06",4,"NA"
"06",5,"NA"
"06",9,""
"07",1,"0"
"07",2,"0"
"07",3,"0"
"07",4,"0"
"07",5,"0"
"07",9,""
"08",1,"NA"
"08",2,"NA"
"08",3,"NA"
"08",4,"NA"
"08",5,"NA"
"08",9,""
"09",1,"0"
"09",2,"0"
"09",3,"0"
"09",4,"0"
"09",5,"0"
"09",9,""
"10",1,"0"
"10",2,"0"
"10",3,"0"
"10",4,"0"
"10",5,"0"
"10",9,""
"11",1,"128"
"11",2,"137"
"11",3,"5"
"11",4,"7"
"11",5,"277"
"11",9,""
"12",1,"NA"
"12",2,"NA"
"12",3,"NA"
"12",4,"NA"
"12",5,"NA"
"12",9,""
"13",1,"0"
"13",2,"0"
"13",3,"0"
"13",4,"0"
"13",5,"0"
"13",9,""
"14",1,"0"
"14",2,"0"
"14",3,"0"
"14",4,"0"
"14",5,"0"
"14",9,""
"15",1,"NA"
"15",2,"NA"
"15",3,"NA"
"15",4,"NA"
"15",5,"NA"
"15",9,""
"16",1,"NA"
"16",2,"NA"
"16",3,"NA"
"16",4,"NA"
"16",5,"NA"
"16",9,""
"17",1,"NA"
"17",2,"NA"
"17",3,"NA"
"17",4,"NA"
"17",5,"NA"
"17",9,""
"18",1,"NA"
"18",2,"NA"
"18",3,"NA"
"18",4,"NA"
"18",5,"NA"
"18",9,""
"19",1,"26"
"19",2,"451"
"19",3,"0"
"19",4,"0"
"19",5,"477"
"19",9,""
"20",1,"0"
"20",2,"0"
"20",3,"0"
"20",4,"0"
"20",5,"0"
"20",9,""
"21",1,"NA"
"21",2,"NA"
"21",3,"NA"
"21",4,"NA"
"21",5,"NA"
"21",9,""
"22",1,"0"
"22",2,"0"
"22",3,"NA"
"22",4,"NA"
"22",5,"0"
"22",9,""
"23",1,"0"
"23",2,"0"
"23",3,"0"
"23",4,"0"
"23",5,"0"
"23",9,""
"24",1,"NA"
"24",2,"NA"
"24",3,"NA"
"24",4,"NA"
"24",5,"NA"
"24",9,""
"25",1,"NA"
"25",2,"NA"
"25",3,"NA"
"25",4,"NA"
"25",5,"NA"
"25",9,""
"26",1,"NA"
"26",2,"NA"
"26",3,"NA"
"26",4,"NA"
"26",5,"NA"
"26",9,""
"27",1,"NA"
"27",2,"NA"
"27",3,"NA"
"27",4,"NA"
"27",5,"NA"
"27",9,""
"28",1,"NA"
"28",2,"NA"
"28",3,"NA"
"28",4,"NA"
"28",5,"NA"
"28",9,""
"29",1,"NA"
"29",2,"NA"
"29",3,"NA"
"29",4,"NA"
"29",5,"NA"
"29",9,""
"30",1,"NA"
"30",2,"NA"
"30",3,"NA"
"30",4,"NA"
"30",5,"NA"
"30",9,""
"31",1,"NA"
"31",2,"NA"
"31",3,"NA"
"31",4,"NA"
"31",5,"NA"
"31",9,""
"32",1,"NA"
"32",2,"NA"
"32",3,"NA"
"32",4,"NA"
"32",5,"NA"
"32",9,""
