entidad,bie_inmu,totalca1
"01",1,"NA"
"01",2,"NA"
"01",3,"NA"
"01",4,"NA"
"01",9,""
"02",1,"NA"
"02",2,"NA"
"02",3,"NA"
"02",4,"NA"
"02",9,""
"03",1,"NA"
"03",2,"NA"
"03",3,"NA"
"03",4,"NA"
"03",9,""
"04",1,"NA"
"04",2,"NA"
"04",3,"NA"
"04",4,"NA"
"04",9,""
"05",1,"0"
"05",2,"1"
"05",3,"11"
"05",4,"12"
"05",9,""
"06",1,"NA"
"06",2,"NA"
"06",3,"NA"
"06",4,"NA"
"06",9,""
"07",1,"1"
"07",2,"0"
"07",3,"0"
"07",4,"1"
"07",9,""
"08",1,"0"
"08",2,"3"
"08",3,"20"
"08",4,"23"
"08",9,""
"09",1,"NA"
"09",2,"NA"
"09",3,"NA"
"09",4,"NA"
"09",9,""
"10",1,"1"
"10",2,"0"
"10",3,"15"
"10",4,"16"
"10",9,""
"11",1,"NA"
"11",2,"NA"
"11",3,"NA"
"11",4,"NA"
"11",9,""
"12",1,"0"
"12",2,"0"
"12",3,"0"
"12",4,"0"
"12",9,""
"13",1,"NA"
"13",2,"NA"
"13",3,"NA"
"13",4,"NA"
"13",9,""
"14",1,"NA"
"14",2,"NA"
"14",3,"NA"
"14",4,"NA"
"14",9,""
"15",1,"NA"
"15",2,"NA"
"15",3,"NA"
"15",4,"NA"
"15",9,""
"16",1,"NA"
"16",2,"NA"
"16",3,"NA"
"16",4,"NA"
"16",9,""
"17",1,"NA"
"17",2,"NA"
"17",3,"NA"
"17",4,"NA"
"17",9,""
"18",1,"NA"
"18",2,"NA"
"18",3,"NA"
"18",4,"NA"
"18",9,""
"19",1,"NA"
"19",2,"NA"
"19",3,"NA"
"19",4,"NA"
"19",9,""
"20",1,"NA"
"20",2,"NA"
"20",3,"NA"
"20",4,"NA"
"20",9,""
"21",1,"NA"
"21",2,"NA"
"21",3,"NA"
"21",4,"NA"
"21",9,""
"22",1,"NA"
"22",2,"NA"
"22",3,"NA"
"22",4,"NA"
"22",9,""
"23",1,"1"
"23",2,"0"
"23",3,"0"
"23",4,"1"
"23",9,""
"24",1,"NA"
"24",2,"NA"
"24",3,"NA"
"24",4,"NA"
"24",9,""
"25",1,"NA"
"25",2,"NA"
"25",3,"NA"
"25",4,"NA"
"25",9,""
"26",1,"NA"
"26",2,"NA"
"26",3,"NA"
"26",4,"NA"
"26",9,""
"27",1,"NA"
"27",2,"NA"
"27",3,"NA"
"27",4,"NA"
"27",9,""
"28",1,"NA"
"28",2,"NA"
"28",3,"NA"
"28",4,"NA"
"28",9,""
"29",1,"NA"
"29",2,"NA"
"29",3,"NA"
"29",4,"NA"
"29",9,""
"30",1,"1"
"30",2,"0"
"30",3,"0"
"30",4,"1"
"30",9,""
"31",1,"NA"
"31",2,"NA"
"31",3,"NA"
"31",4,"NA"
"31",9,""
"32",1,"NA"
"32",2,"NA"
"32",3,"NA"
"32",4,"NA"
"32",9,""
